job_role,experience,notice_period,interview_time,past_reschedules,current_company_size,candidate_location,communication_score,expected_salary,scheduled_day_gap,no_show
Backend Developer,0.3,15,Morning,3,Enterprise,Same City,8.1,413148,11,1
Frontend Developer,9.2,60,Afternoon,3,Startup,Same City,9.9,365827,10,0
Software Engineer,6.2,45,Evening,1,Enterprise,Same City,1.2,1053767,16,0
Software Engineer,8.0,30,Morning,0,Enterprise,Same City,7.3,818061,8,0
Backend Developer,4.8,45,Morning,1,Enterprise,Same City,3.3,957518,9,0
Software Engineer,1.2,30,Morning,0,Startup,Same City,1.4,540714,15,1
Software Engineer,1.3,30,Afternoon,1,Enterprise,Same City,4.6,337995,3,1
Backend Developer,6.9,90,Morning,2,Mid-size,Different City,9.4,290658,4,1
Backend Developer,4.3,30,Afternoon,0,Mid-size,Different City,1.1,570338,13,0
Data Analyst,2.0,30,Evening,0,Startup,Same City,6.3,1497155,12,0
Frontend Developer,4.9,60,Afternoon,0,Startup,Same City,5.5,624016,9,0
Frontend Developer,0.6,45,Morning,0,Enterprise,Same City,8.9,1201463,14,0
Software Engineer,5.8,15,Afternoon,0,Mid-size,Same City,1.8,696288,19,0
Frontend Developer,2.7,15,Morning,1,Startup,Same City,7.1,950948,7,0
Software Engineer,8.0,15,Evening,2,Startup,Same City,7.1,1208037,16,0
Data Analyst,3.1,45,Afternoon,2,Mid-size,Same City,7.0,318582,5,0
Backend Developer,4.6,30,Morning,0,Startup,Different City,9.5,687734,10,0
Backend Developer,0.1,15,Afternoon,2,Enterprise,Same City,8.4,393775,18,1
Backend Developer,0.7,90,Afternoon,1,Startup,Different City,1.4,829779,11,1
Frontend Developer,3.9,45,Afternoon,0,Startup,Different City,5.2,520187,7,0
Data Analyst,4.8,30,Morning,0,Mid-size,Same City,4.6,615356,14,0
Frontend Developer,6.0,45,Evening,0,Mid-size,Same City,3.8,768943,18,1
Frontend Developer,2.9,45,Evening,2,Mid-size,Same City,5.1,580484,11,0
Data Analyst,6.9,15,Afternoon,0,Mid-size,Same City,4.5,1439824,12,0
Data Analyst,8.6,30,Evening,1,Enterprise,Same City,4.9,647152,18,1
Data Analyst,7.8,60,Morning,0,Mid-size,Same City,9.8,600912,2,1
Data Analyst,0.4,30,Afternoon,1,Startup,Same City,1.8,882465,1,0
Backend Developer,4.8,45,Afternoon,0,Mid-size,Different City,9.3,800197,10,1
QA Tester,1.0,30,Afternoon,0,Enterprise,Same City,5.3,1342734,1,0
QA Tester,2.4,15,Afternoon,0,Mid-size,Different City,6.6,913726,6,0
Data Analyst,9.9,15,Morning,0,Startup,Same City,8.5,466197,7,0
QA Tester,1.4,30,Morning,1,Enterprise,Different City,4.2,1095763,17,0
QA Tester,5.0,30,Morning,0,Mid-size,Same City,4.9,1018278,9,0
Data Analyst,6.2,15,Morning,1,Mid-size,Same City,4.7,977402,7,0
QA Tester,7.0,60,Afternoon,0,Startup,Different City,4.4,922818,17,0
Frontend Developer,5.6,90,Morning,0,Startup,Same City,9.3,1385943,3,1
Software Engineer,0.1,60,Morning,0,Mid-size,Same City,8.5,577526,16,1
Software Engineer,3.3,60,Afternoon,0,Startup,Same City,2.0,1295144,5,1
Data Analyst,5.2,30,Afternoon,2,Mid-size,Same City,2.0,1372895,18,0
Backend Developer,0.9,90,Evening,0,Mid-size,Same City,4.9,523314,1,0
Data Analyst,3.5,15,Afternoon,1,Startup,Different City,1.9,894240,4,0
Backend Developer,0.3,90,Morning,3,Enterprise,Same City,6.6,854433,11,1
Software Engineer,0.8,90,Evening,0,Enterprise,Same City,2.3,1052640,9,1
Data Analyst,4.0,45,Afternoon,0,Enterprise,Different City,5.7,940538,8,0
Frontend Developer,1.3,90,Morning,1,Startup,Same City,1.1,460244,8,0
QA Tester,5.7,45,Afternoon,3,Startup,Same City,3.8,914399,5,1
Backend Developer,6.9,30,Evening,2,Mid-size,Different City,7.1,264990,12,1
QA Tester,8.0,30,Morning,0,Startup,Same City,5.4,911801,1,0
QA Tester,2.0,45,Morning,1,Enterprise,Same City,9.8,1241725,15,1
Data Analyst,1.7,15,Morning,0,Startup,Same City,8.9,379327,18,0
QA Tester,1.0,45,Morning,3,Mid-size,Same City,4.2,1115746,6,1
Frontend Developer,6.4,90,Afternoon,3,Mid-size,Same City,1.4,904511,10,0
QA Tester,7.1,15,Afternoon,0,Mid-size,Same City,8.6,453161,14,0
Data Analyst,0.3,60,Morning,0,Startup,Different City,9.2,367782,8,1
Frontend Developer,9.4,90,Evening,0,Mid-size,Same City,8.4,1038797,3,0
Software Engineer,0.5,90,Afternoon,0,Startup,Same City,2.2,584348,19,0
QA Tester,5.4,90,Afternoon,1,Enterprise,Different City,10.0,648216,12,1
Data Analyst,7.1,45,Evening,0,Startup,Same City,3.3,1093504,12,0
Software Engineer,8.7,90,Morning,0,Enterprise,Different City,7.5,302499,15,0
Software Engineer,7.1,60,Afternoon,0,Enterprise,Same City,9.2,581355,7,0
Backend Developer,8.0,15,Afternoon,3,Startup,Different City,3.1,1442555,4,1
Frontend Developer,3.4,30,Evening,0,Enterprise,Same City,9.2,398408,9,0
QA Tester,8.1,45,Afternoon,0,Startup,Same City,3.8,1130279,16,1
Data Analyst,0.8,30,Morning,0,Enterprise,Same City,9.8,957691,13,0
Backend Developer,8.9,45,Evening,3,Mid-size,Same City,3.5,621603,4,1
Frontend Developer,5.5,45,Morning,1,Mid-size,Different City,9.6,580927,9,0
Backend Developer,8.2,15,Evening,0,Mid-size,Same City,1.5,975311,18,0
Frontend Developer,4.5,45,Evening,0,Startup,Same City,7.4,1042904,15,0
Frontend Developer,6.4,60,Morning,0,Enterprise,Different City,5.8,615296,15,0
QA Tester,5.3,30,Afternoon,0,Startup,Same City,5.3,1456928,6,1
Frontend Developer,7.3,15,Morning,0,Mid-size,Same City,3.0,1451507,11,1
Backend Developer,0.8,15,Afternoon,2,Mid-size,Same City,7.4,1437910,8,1
Frontend Developer,0.6,30,Afternoon,0,Enterprise,Same City,2.7,396626,17,1
QA Tester,2.5,90,Afternoon,1,Startup,Same City,6.0,1379375,17,1
QA Tester,1.6,30,Evening,0,Mid-size,Different City,3.3,485018,18,0
Backend Developer,8.7,45,Afternoon,1,Mid-size,Same City,9.6,1249529,4,0
Software Engineer,2.2,30,Afternoon,1,Enterprise,Same City,1.3,1357929,15,1
Software Engineer,9.8,30,Evening,0,Startup,Different City,2.8,826380,2,0
Frontend Developer,3.4,60,Evening,0,Startup,Same City,3.2,493907,2,0
Data Analyst,1.8,45,Morning,0,Startup,Same City,4.7,405355,10,0
Frontend Developer,7.9,15,Evening,0,Enterprise,Same City,3.1,1222461,3,1
Backend Developer,6.6,30,Morning,0,Startup,Same City,5.4,278887,8,0
Backend Developer,5.0,15,Evening,0,Mid-size,Same City,8.9,1040787,7,0
Backend Developer,5.6,30,Morning,3,Startup,Same City,7.4,422606,12,1
Backend Developer,7.2,45,Morning,0,Enterprise,Same City,6.2,501420,19,1
Backend Developer,2.3,15,Afternoon,1,Enterprise,Different City,1.8,1228778,15,0
QA Tester,10.0,30,Afternoon,0,Mid-size,Same City,7.2,786567,14,0
Software Engineer,9.7,30,Morning,1,Mid-size,Different City,2.5,895026,16,0
Backend Developer,6.5,90,Morning,0,Startup,Same City,8.1,913621,14,1
Data Analyst,2.0,90,Afternoon,2,Startup,Same City,3.3,909834,3,1
Data Analyst,6.8,15,Evening,0,Startup,Same City,4.8,670141,18,1
Data Analyst,0.7,60,Morning,0,Mid-size,Different City,4.2,594318,6,0
Data Analyst,0.3,30,Morning,0,Mid-size,Same City,8.7,470079,17,0
QA Tester,2.6,30,Afternoon,0,Enterprise,Same City,2.1,454470,14,0
Data Analyst,4.6,60,Morning,0,Mid-size,Different City,6.1,659336,14,1
Backend Developer,8.7,90,Evening,0,Mid-size,Same City,2.3,1431683,13,0
Frontend Developer,7.3,90,Evening,0,Mid-size,Different City,7.3,874559,3,1
Data Analyst,7.4,45,Afternoon,2,Mid-size,Same City,9.1,841676,13,0
QA Tester,4.3,30,Morning,0,Startup,Different City,4.9,1350911,2,1
QA Tester,3.5,60,Afternoon,0,Mid-size,Different City,5.4,293315,9,1
Data Analyst,3.7,30,Afternoon,1,Mid-size,Same City,9.3,1141354,13,0
Frontend Developer,9.9,45,Evening,0,Enterprise,Same City,5.7,299334,8,0
Data Analyst,0.4,30,Afternoon,0,Enterprise,Same City,5.4,436964,16,0
QA Tester,8.7,45,Afternoon,0,Mid-size,Different City,6.2,1490844,3,1
Software Engineer,5.8,30,Afternoon,3,Startup,Same City,7.2,1338302,13,1
Backend Developer,4.4,15,Afternoon,2,Mid-size,Same City,2.0,456823,4,0
QA Tester,7.3,90,Evening,2,Mid-size,Same City,8.4,1022333,18,0
Data Analyst,4.9,15,Afternoon,0,Startup,Same City,4.9,1067126,2,0
Backend Developer,8.7,45,Afternoon,1,Enterprise,Same City,1.7,412325,15,0
Data Analyst,9.0,30,Morning,0,Enterprise,Same City,8.1,929590,17,0
Data Analyst,4.2,15,Afternoon,0,Enterprise,Same City,4.4,1483622,10,0
Software Engineer,2.8,15,Afternoon,0,Startup,Same City,1.9,1039097,1,0
Backend Developer,5.9,15,Morning,0,Enterprise,Same City,6.7,539169,6,0
Backend Developer,9.1,60,Morning,0,Enterprise,Same City,8.9,666749,3,0
Software Engineer,2.1,30,Afternoon,0,Mid-size,Different City,9.0,1213401,19,1
QA Tester,6.2,90,Afternoon,0,Mid-size,Different City,9.6,768982,7,1
Data Analyst,6.3,45,Afternoon,0,Enterprise,Same City,8.8,1286484,13,0
Frontend Developer,7.3,30,Morning,1,Mid-size,Same City,1.0,573392,13,0
Data Analyst,1.3,45,Afternoon,0,Mid-size,Same City,4.4,535201,17,1
Data Analyst,7.2,45,Morning,1,Mid-size,Same City,8.4,451703,1,0
QA Tester,9.1,60,Afternoon,0,Mid-size,Same City,4.3,609175,14,0
Data Analyst,1.8,30,Morning,1,Startup,Same City,6.4,1149145,3,0
Software Engineer,2.4,30,Morning,0,Enterprise,Same City,6.5,765728,14,0
Software Engineer,9.7,60,Morning,0,Mid-size,Different City,4.3,317173,1,0
Backend Developer,1.8,90,Morning,0,Mid-size,Same City,9.1,985566,16,1
Frontend Developer,8.5,60,Morning,0,Startup,Same City,5.5,1337310,10,0
Data Analyst,4.9,30,Morning,1,Mid-size,Same City,5.2,707391,13,0
Data Analyst,2.5,60,Afternoon,0,Startup,Different City,10.0,484046,4,1
QA Tester,8.7,30,Afternoon,0,Startup,Same City,5.4,444855,9,0
Software Engineer,4.5,30,Morning,2,Mid-size,Same City,2.6,606338,14,1
Frontend Developer,5.1,30,Evening,1,Mid-size,Same City,5.6,976099,4,1
Backend Developer,3.6,45,Morning,0,Mid-size,Same City,8.3,694258,10,0
Software Engineer,5.9,15,Afternoon,0,Startup,Same City,8.0,957717,8,0
Backend Developer,1.6,30,Morning,0,Mid-size,Same City,8.1,1438317,3,1
QA Tester,3.9,60,Morning,0,Startup,Same City,7.4,1158679,7,1
QA Tester,9.7,30,Afternoon,0,Enterprise,Same City,3.3,1355535,10,0
Data Analyst,2.6,15,Afternoon,3,Mid-size,Same City,8.8,870911,3,1
Frontend Developer,6.6,15,Evening,0,Mid-size,Different City,9.0,905726,2,1
Backend Developer,3.3,90,Afternoon,0,Mid-size,Same City,2.7,374716,15,0
Software Engineer,7.7,45,Evening,0,Startup,Different City,2.2,259907,9,1
QA Tester,1.3,30,Morning,2,Enterprise,Same City,9.8,1132257,15,0
Data Analyst,9.7,60,Morning,1,Startup,Same City,8.8,701095,17,0
Data Analyst,4.5,60,Morning,0,Mid-size,Same City,9.0,1252663,7,0
Backend Developer,2.4,30,Morning,1,Mid-size,Same City,9.0,1215701,18,0
QA Tester,0.7,45,Afternoon,0,Startup,Different City,5.9,519629,15,1
Frontend Developer,1.7,60,Afternoon,0,Enterprise,Different City,6.8,1030504,18,0
QA Tester,5.2,45,Morning,0,Mid-size,Same City,5.9,341005,12,0
Backend Developer,3.4,15,Evening,0,Startup,Same City,1.5,832816,8,0
Backend Developer,8.3,60,Evening,0,Startup,Same City,7.7,1271983,2,0
QA Tester,4.3,45,Morning,2,Startup,Same City,5.5,1213843,2,1
Backend Developer,2.5,30,Morning,0,Enterprise,Same City,6.8,431532,5,1
QA Tester,6.2,30,Morning,3,Mid-size,Same City,5.5,1444525,1,1
Software Engineer,7.1,15,Morning,0,Startup,Different City,5.4,509673,4,0
QA Tester,1.7,15,Morning,0,Startup,Same City,2.5,667939,6,0
QA Tester,1.7,60,Afternoon,0,Mid-size,Different City,3.5,653522,13,0
Backend Developer,0.4,15,Morning,0,Mid-size,Different City,2.4,417856,19,1
Backend Developer,7.4,30,Morning,0,Mid-size,Different City,2.8,633545,11,0
Data Analyst,6.6,45,Evening,0,Mid-size,Same City,9.8,471099,13,1
Data Analyst,4.7,15,Afternoon,0,Startup,Same City,2.4,1325947,8,0
Software Engineer,8.4,90,Evening,0,Mid-size,Same City,3.4,1397322,7,1
Data Analyst,8.1,30,Morning,1,Enterprise,Same City,6.3,1171440,13,0
QA Tester,5.9,30,Morning,0,Startup,Same City,6.5,537871,1,1
Backend Developer,8.7,30,Afternoon,0,Mid-size,Different City,2.4,888288,6,0
Data Analyst,2.1,30,Morning,0,Mid-size,Different City,8.1,1362545,7,0
Data Analyst,1.1,15,Morning,2,Mid-size,Different City,8.1,842819,16,1
Software Engineer,2.7,45,Afternoon,1,Startup,Different City,3.1,1464632,15,0
Software Engineer,0.6,90,Afternoon,0,Enterprise,Same City,3.6,1211795,2,0
QA Tester,5.3,30,Afternoon,0,Mid-size,Same City,9.4,1494876,16,0
Backend Developer,9.4,45,Afternoon,0,Mid-size,Same City,8.4,735315,17,0
Software Engineer,0.4,45,Afternoon,3,Mid-size,Same City,7.3,927510,15,1
Data Analyst,1.2,60,Morning,1,Startup,Different City,1.7,1189565,3,1
Backend Developer,4.5,30,Morning,0,Startup,Same City,4.8,481944,4,0
Backend Developer,9.3,30,Morning,0,Enterprise,Same City,6.0,1355366,12,0
Data Analyst,3.2,30,Morning,0,Startup,Same City,2.7,1052080,5,0
Software Engineer,5.1,45,Evening,3,Mid-size,Same City,5.0,1360355,17,1
Data Analyst,0.4,60,Afternoon,0,Mid-size,Same City,6.4,356371,6,0
Backend Developer,1.5,15,Afternoon,0,Mid-size,Different City,3.9,548816,10,0
Frontend Developer,9.9,30,Morning,0,Mid-size,Same City,8.0,284593,18,0
Frontend Developer,9.7,90,Morning,1,Mid-size,Same City,8.6,657002,10,0
QA Tester,0.0,60,Morning,1,Startup,Same City,3.9,1181298,6,1
Data Analyst,9.5,90,Morning,1,Mid-size,Same City,8.5,1057734,6,0
Data Analyst,6.4,60,Morning,0,Mid-size,Same City,1.9,1490712,15,1
QA Tester,8.7,30,Afternoon,2,Mid-size,Different City,8.5,467872,4,0
QA Tester,4.5,45,Afternoon,0,Startup,Same City,2.4,597284,16,0
QA Tester,5.2,45,Afternoon,0,Mid-size,Same City,1.7,585500,8,0
Backend Developer,4.9,15,Afternoon,0,Startup,Same City,6.8,823570,7,0
Data Analyst,6.7,45,Evening,3,Startup,Same City,5.2,902739,19,1
Backend Developer,1.4,45,Morning,0,Startup,Same City,9.2,1157779,17,0
QA Tester,0.3,15,Morning,1,Enterprise,Same City,4.3,958074,13,0
Data Analyst,3.1,60,Morning,1,Startup,Same City,3.6,273814,15,1
Backend Developer,7.0,45,Afternoon,0,Startup,Different City,5.5,405161,2,0
Backend Developer,2.0,90,Evening,0,Startup,Same City,5.1,699047,10,0
QA Tester,6.7,15,Morning,0,Startup,Same City,4.1,1380249,13,0
Data Analyst,9.7,30,Evening,0,Mid-size,Same City,7.2,336796,18,0
QA Tester,0.9,45,Evening,0,Startup,Same City,7.8,1335052,11,0
Data Analyst,6.7,30,Morning,0,Startup,Different City,8.7,907129,13,0
Frontend Developer,4.4,45,Morning,2,Mid-size,Different City,9.8,554422,19,1
Software Engineer,8.7,60,Afternoon,3,Mid-size,Same City,3.4,1476642,5,1
Software Engineer,1.8,15,Evening,0,Enterprise,Different City,7.4,1010395,3,0
Software Engineer,6.9,45,Morning,0,Mid-size,Different City,4.5,376259,19,0
QA Tester,8.4,45,Afternoon,0,Startup,Different City,7.1,1088628,13,0
Frontend Developer,9.4,30,Morning,1,Mid-size,Same City,5.3,1477933,5,0
Data Analyst,6.8,90,Afternoon,1,Startup,Same City,9.9,1167293,12,0
Backend Developer,5.0,60,Afternoon,0,Mid-size,Same City,7.6,1485147,14,1
Data Analyst,6.2,45,Afternoon,0,Mid-size,Different City,9.6,793708,6,1
Backend Developer,8.7,45,Evening,1,Startup,Same City,8.5,1454884,9,0
Data Analyst,5.7,30,Evening,0,Mid-size,Same City,9.1,1042650,17,1
Frontend Developer,0.3,90,Evening,0,Enterprise,Same City,8.3,374283,8,0
Backend Developer,9.3,45,Morning,0,Enterprise,Same City,5.1,693108,13,0
QA Tester,6.9,45,Afternoon,0,Mid-size,Same City,3.3,979391,5,1
Data Analyst,6.8,60,Morning,0,Mid-size,Different City,4.3,480461,17,1
Data Analyst,2.2,30,Afternoon,1,Startup,Same City,1.2,464202,3,1
Backend Developer,6.6,60,Afternoon,1,Startup,Different City,5.7,392298,6,0
QA Tester,3.9,15,Afternoon,0,Mid-size,Same City,5.5,897396,14,0
QA Tester,6.5,30,Afternoon,2,Mid-size,Same City,5.7,1219775,15,1
Frontend Developer,1.1,30,Evening,0,Enterprise,Same City,9.8,1046478,14,0
QA Tester,6.6,90,Morning,1,Mid-size,Same City,9.2,496027,11,0
QA Tester,10.0,60,Afternoon,0,Mid-size,Same City,2.5,1153894,11,1
QA Tester,0.5,45,Morning,2,Mid-size,Same City,4.3,287117,9,1
Software Engineer,9.8,45,Morning,2,Enterprise,Same City,4.8,1428556,6,0
Frontend Developer,4.1,45,Morning,0,Mid-size,Different City,4.2,1172469,15,0
Data Analyst,8.7,90,Evening,2,Mid-size,Same City,8.2,1279300,12,1
Backend Developer,7.8,30,Evening,1,Mid-size,Same City,5.7,438349,6,0
Data Analyst,5.7,30,Evening,1,Enterprise,Same City,6.1,791661,1,1
Frontend Developer,7.4,15,Evening,0,Startup,Same City,8.7,295452,16,0
Backend Developer,8.8,60,Morning,1,Enterprise,Same City,8.3,1479737,15,0
Frontend Developer,4.0,45,Morning,2,Mid-size,Same City,2.2,1305230,2,0
QA Tester,3.3,30,Afternoon,0,Mid-size,Same City,7.4,1198784,17,1
Backend Developer,6.7,15,Afternoon,3,Mid-size,Same City,4.9,1485789,3,0
QA Tester,8.1,60,Afternoon,0,Mid-size,Same City,3.7,373319,3,1
Data Analyst,7.6,15,Morning,0,Startup,Different City,1.5,1142078,5,0
Data Analyst,8.0,45,Afternoon,0,Enterprise,Same City,5.4,469015,17,1
Backend Developer,4.4,90,Afternoon,0,Mid-size,Same City,4.2,1173864,17,0
Backend Developer,8.2,30,Morning,0,Mid-size,Different City,3.3,828256,6,1
Frontend Developer,1.2,30,Afternoon,0,Startup,Same City,7.3,909103,1,0
Frontend Developer,5.4,45,Afternoon,3,Mid-size,Same City,7.9,413223,7,1
QA Tester,0.1,60,Afternoon,0,Mid-size,Same City,3.2,381590,15,0
Backend Developer,3.2,45,Morning,0,Mid-size,Same City,1.4,528796,7,0
Data Analyst,3.7,90,Afternoon,0,Mid-size,Same City,8.6,495615,19,1
Frontend Developer,4.0,15,Morning,0,Mid-size,Same City,1.1,1025492,11,0
Frontend Developer,7.0,45,Morning,2,Enterprise,Different City,9.4,1238515,14,0
Data Analyst,3.9,45,Afternoon,1,Mid-size,Different City,6.6,484537,13,1
Frontend Developer,4.5,60,Afternoon,1,Enterprise,Same City,3.9,1471996,9,1
QA Tester,2.4,15,Morning,0,Startup,Same City,3.2,980782,9,1
Backend Developer,3.7,60,Afternoon,0,Mid-size,Same City,1.1,1375577,16,0
Data Analyst,2.3,45,Afternoon,0,Mid-size,Same City,3.1,326757,12,0
Backend Developer,0.7,30,Afternoon,0,Mid-size,Same City,2.2,383407,10,0
Frontend Developer,6.0,15,Afternoon,0,Enterprise,Same City,6.5,494348,6,0
Frontend Developer,6.7,60,Afternoon,1,Startup,Same City,2.5,905860,18,0
Data Analyst,6.2,15,Afternoon,0,Startup,Same City,5.8,618742,2,0
QA Tester,4.6,30,Morning,1,Enterprise,Different City,6.3,462328,9,1
Software Engineer,3.8,30,Morning,0,Startup,Same City,3.7,648759,19,0
Data Analyst,8.6,60,Afternoon,0,Mid-size,Different City,1.3,1284938,6,0
Software Engineer,5.2,45,Afternoon,0,Mid-size,Different City,1.3,957597,2,0
Software Engineer,4.8,60,Afternoon,0,Enterprise,Same City,1.2,995076,15,0
QA Tester,0.3,30,Morning,2,Startup,Different City,7.7,780901,17,1
Software Engineer,3.4,45,Morning,0,Startup,Same City,3.9,1146465,16,0
Software Engineer,3.8,45,Afternoon,0,Mid-size,Same City,8.2,1496511,8,0
QA Tester,4.0,60,Morning,3,Enterprise,Same City,4.9,1208044,10,1
Software Engineer,5.8,90,Afternoon,0,Mid-size,Same City,5.1,1112634,10,0
Software Engineer,5.3,15,Morning,0,Mid-size,Same City,5.6,335666,18,1
Software Engineer,6.1,45,Afternoon,0,Mid-size,Same City,7.4,796356,10,0
Data Analyst,7.6,15,Evening,0,Enterprise,Same City,3.5,1085489,9,1
Data Analyst,8.1,45,Morning,1,Enterprise,Same City,2.1,1055378,19,0
Data Analyst,7.2,30,Afternoon,1,Enterprise,Same City,6.0,925907,1,0
QA Tester,9.6,30,Morning,3,Startup,Same City,3.9,859525,4,1
Frontend Developer,0.2,30,Afternoon,0,Startup,Same City,5.0,1284628,3,0
Software Engineer,2.0,45,Afternoon,0,Mid-size,Same City,6.8,517913,10,0
Software Engineer,0.1,30,Afternoon,1,Enterprise,Same City,5.4,1377775,12,1
QA Tester,6.5,45,Afternoon,0,Startup,Same City,6.6,1402798,18,1
Software Engineer,9.0,30,Evening,0,Startup,Different City,5.9,1283281,6,1
Data Analyst,2.4,15,Morning,0,Enterprise,Same City,7.7,483931,2,0
Frontend Developer,9.3,60,Morning,0,Startup,Same City,7.4,416234,10,1
Backend Developer,0.6,30,Evening,0,Mid-size,Same City,5.8,731604,2,0
Software Engineer,9.3,30,Afternoon,2,Mid-size,Different City,7.1,283434,9,0
Data Analyst,3.5,45,Evening,2,Mid-size,Same City,8.9,1058534,10,1
Backend Developer,1.0,30,Afternoon,0,Enterprise,Same City,4.9,1320112,2,0
Frontend Developer,4.9,15,Evening,0,Mid-size,Same City,4.7,973130,8,0
Backend Developer,2.6,30,Afternoon,0,Mid-size,Same City,7.9,1403215,17,1
Data Analyst,2.8,90,Afternoon,2,Mid-size,Same City,6.2,693604,17,1
